Country,GDP,population,Forest area(%)2020,Foreign investment(% GDP),Renewable Electricity(% of total),CO2 emissions (metric tons)
Austria,480368.4,8955797,47.3,2.6,16.5,7.3
Belgium,594104.18,11592952,22.8,4,20.3,8.1
Bulgaria,84056.31,6877743,35.9,2.5,6.4,5.6
Croatia,68955.08,3899000,34.7,6.8,10,4.1
Cyprus,28407.87,1244188,18.7,-117.4,8.8,5.9
Czechia,281777.89,10505772,34.7,2.7,9.2,9
Denmark,398303.27,5856733,15.7,3.7,65.4,5.1
Estonia,37191.17,1330932,57,19.8,14.2,7.7
Finland,297301.88,5541017,73.7,8,20.1,7.4
France,2957879.76,67749632,31.5,3,6.2,4.5
Germany,4259934.91,83196078,32.7,1.7,26.3,7.9
Greece,214873.88,10641221,30.3,2.9,16.9,5.6
Hungary,181848.02,9709891,22.5,16.1,9.8,4.7
Ireland,504182.6,5033165,11.4,16.1,25.1,7.2
Italy,2107702.84,59109668,32.3,0.9,22.5,5.3
Latvia,39853.5,1884490,54.8,9.3,16.6,4
Lithuania,66445.26,2800839,35.1,4.4,31.2,4.2
Luxembourg,85506.24,640064,34.5,-10.6,24.9,15.3
Malta,17364.04,518536,1.4,25.2,7.7,3.3
Netherlands,1012846.76,17533044,11,-14,12.4,8.4
Poland,679444.83,37747124,31,5.5,12.7,7.8
Portugal,253663.14,10325147,36.2,3.1,30.6,4.3
Romania,284087.56,19119880,30.1,4.1,14.5,3.8
Slovak Republic,116527.1,5447247,40.1,0.8,8.2,5.7
Slovenia,61748.59,2108079,61.5,3.5,3.7,6.5
Spain,1427380.68,47415750,37.2,3.1,24.8,5.1
Sweden,635663.8,10415811,68.7,8.3,16.8,3.4
